‏Page,Sura,Verse,Text
582,78,1,ﭑﭒﭓ
582,78,2,ﭔﭕﭖﭗ
582,78,3,ﭘﭙﭚﭛﭜb
582,78,4,ﭝﭞﭟ
582,78,5,ﭠﭡﭢﭣ
582,78,6,ﭤﭥﭦﭧﭨb
582,78,7,ﭩﭪﭫ
582,78,8,ﭬﭭﭮ
582,78,9,ﭯﭰﭱbﭲ
582,78,10,ﭳﭴﭵﭶ
582,78,11,ﭷﭸﭹﭺ
582,78,12,ﭻbﭼﭽﭾﭿ
582,78,13,ﮀﮁﮂﮃ
582,78,14,ﮄbﮅﮆﮇﮈﮉ
582,78,15,ﮊﮋﮌﮍﮎ
582,78,16,ﮏbﮐﮑ
582,78,17,ﮒﮓﮔﮕﮖﮗ
582,78,18,ﮘﮙﮚﮛbﮜﮝﮞ
582,78,19,ﮟﮠﮡﮢﮣ
582,78,20,ﮤbﮥﮦﮧﮨ
582,78,21,ﮩﮪﮫﮬﮭ
582,78,22,ﮮbﮯﮰ
582,78,23,ﮱﯓﯔﯕ
582,78,24,ﯖﯗﯘﯙﯚﯛbﯜ
582,78,25,ﯝﯞﯟﯠ
582,78,26,ﯡﯢﯣ
582,78,27,ﯤﯥbﯦﯧﯨﯩ
582,78,28,ﯪﯫﯬﯭ
582,78,29,ﯮﯯbﯰﯱﯲ
582,78,30,ﯳﯴﯵﯶﯷﯸ
583,78,31,ﭑﭒﭓﭔ
583,78,32,ﭕﭖﭗ
583,78,33,ﭘﭙﭚ
583,78,34,ﭛbﭜﭝ
583,78,35,ﭞﭟﭠﭡﭢﭣﭤ
583,78,36,ﭥﭦﭧﭨbﭩﭪ
583,78,37,ﭫﭬﭭﭮﭯﭰﭱﭲﭳbﭴﭵﭶ
583,78,38,ﭷﭸﭹﭺﭻﭼﭽﭾbﭿﮀﮁﮂﮃﮄﮅﮆ
583,78,39,ﮇﮈﮉﮊﮋbﮌﮍﮎﮏﮐﮑ
583,78,40,ﮒﮓﮔﮕﮖbﮗﮘﮙﮚﮛﮜﮝﮞﮟﮠﮡb
583,79,1,ﮢﮣﮤ
583,79,2,ﮥﮦﮧ
583,79,3,ﮨﮩbﮪ
583,79,4,ﮫﮬﮭ
583,79,5,ﮮﮯﮰ
583,79,6,ﮱﯓﯔbﯕ
583,79,7,ﯖﯗﯘ
583,79,8,ﯙﯚﯛﯜ
583,79,9,ﯝbﯞﯟ
583,79,10,ﯠﯡﯢﯣﯤﯥ
583,79,11,ﯦﯧbﯨﯩﯪ
583,79,12,ﯫﯬﯭﯮﯯﯰ
583,79,13,ﯱﯲﯳbﯴﯵ
583,79,14,ﯶﯷﯸﯹ
583,79,15,ﯺﯻﯼﯽﯾ
584,79,16,ﭑﭒﭓﭔﭕﭖﭗ
584,79,17,ﭘﭙﭚﭛﭜﭝb
584,79,18,ﭞﭟﭠﭡﭢﭣﭤ
584,79,19,ﭥﭦﭧﭨﭩ
584,79,20,ﭪbﭫﭬﭭ
584,79,21,ﭮﭯﭰ
584,79,22,ﭱﭲﭳﭴ
584,79,23,ﭵbﭶﭷ
584,79,24,ﭸﭹﭺﭻﭼ
584,79,25,ﭽﭾﭿﮀﮁbﮂ
584,79,26,ﮃﮄﮅﮆﮇﮈﮉ
584,79,27,ﮊﮋﮌﮍﮎﮏﮐbﮑ
584,79,28,ﮒﮓﮔﮕ
584,79,29,ﮖﮗﮘﮙﮚb
584,79,30,ﮛﮜﮝﮞﮟ
584,79,31,ﮠﮡﮢﮣﮤb
584,79,32,ﮥﮦﮧ
584,79,33,ﮨﮩﮪﮫ
584,79,34,ﮬﮭﮮbﮯﮰ
584,79,35,ﮱﯓﯔﯕﯖﯗ
584,79,36,ﯘﯙbﯚﯛﯜ
584,79,37,ﯝﯞﯟﯠ
584,79,38,ﯡﯢﯣﯤ
584,79,39,ﯥﯦbﯧﯨﯩ
584,79,40,ﯪﯫﯬﯭﯮﯯﯰﯱﯲbﯳ
584,79,41,ﯴﯵﯶﯷﯸ
584,79,42,ﯹﯺﯻﯼﯽbﯾ
584,79,43,ﯿﰀﰁﰂﰃ
584,79,44,ﰄﰅﰆﰇ
584,79,45,ﰈﰉﰊbﰋﰌﰍ
584,79,46,ﰎﰏﰐﰑﰒﰓﰔﰕﰖﰗ
585,80,1,ﭑﭒﭓ
585,80,2,ﭔﭕﭖﭗ
585,80,3,ﭘﭙﭚﭛﭜ
585,80,4,ﭝbﭞﭟﭠﭡ
585,80,5,ﭢﭣﭤﭥ
585,80,6,ﭦﭧﭨﭩb
585,80,7,ﭪﭫﭬﭭﭮ
585,80,8,ﭯﭰﭱﭲﭳ
585,80,9,ﭴﭵﭶ
585,80,10,ﭷbﭸﭹﭺ
585,80,11,ﭻﭼﭽﭾ
585,80,12,ﭿﮀﮁﮂ
585,80,13,ﮃﮄﮅbﮆ
585,80,14,ﮇﮈﮉ
585,80,15,ﮊﮋﮌ
585,80,16,ﮍﮎﮏ
585,80,17,ﮐﮑbﮒﮓﮔ
585,80,18,ﮕﮖﮗﮘﮙ
585,80,19,ﮚﮛﮜﮝﮞ
585,80,20,ﮟbﮠﮡﮢ
585,80,21,ﮣﮤﮥﮦ
585,80,22,ﮧﮨﮩﮪﮫ
585,80,23,ﮬﮭbﮮﮯﮰﮱ
585,80,24,ﯓﯔﯕﯖﯗ
585,80,25,ﯘﯙﯚﯛbﯜ
585,80,26,ﯝﯞﯟﯠﯡ
585,80,27,ﯢﯣﯤﯥ
585,80,28,ﯦﯧﯨb
585,80,29,ﯩﯪﯫ
585,80,30,ﯬﯭﯮ
585,80,31,ﯯﯰﯱ
585,80,32,ﯲﯳbﯴﯵ
585,80,33,ﯶﯷﯸﯹ
585,80,34,ﯺﯻﯼﯽﯾﯿb
585,80,35,ﰀﰁﰂ
585,80,36,ﰃﰄﰅ
585,80,37,ﰆﰇﰈﰉﰊbﰋﰌ
585,80,38,ﰍﰎﰏﰐ
585,80,39,ﰑﰒﰓ
585,80,40,ﰔbﰕﰖﰗﰘ
585,80,41,ﰙﰚﰛ
585,80,42,ﰜﰝﰞﰟﰠ
586,81,1,ﭑﭒﭓﭔ
586,81,2,ﭕﭖﭗﭘ
586,81,3,ﭙﭚbﭛﭜ
586,81,4,ﭝﭞﭟﭠ
586,81,5,ﭡﭢﭣbﭤ
586,81,6,ﭥﭦﭧﭨ
586,81,7,ﭩﭪﭫﭬ
586,81,8,ﭭbﭮﭯﭰ
586,81,9,ﭱﭲﭳﭴ
586,81,10,ﭵﭶﭷbﭸ
586,81,11,ﭹﭺﭻﭼ
586,81,12,ﭽﭾﭿﮀ
586,81,13,ﮁﮂbﮃﮄ
586,81,14,ﮅﮆﮇﮈﮉ
586,81,15,ﮊﮋﮌﮍb
586,81,16,ﮎﮏﮐ
586,81,17,ﮑﮒﮓﮔ
586,81,18,ﮕﮖﮗﮘb
586,81,19,ﮙﮚﮛﮜﮝ
586,81,20,ﮞﮟﮠﮡﮢﮣﮤ
586,81,21,ﮥbﮦﮧﮨ
586,81,22,ﮩﮪﮫﮬ
586,81,23,ﮭﮮﮯﮰbﮱ
586,81,24,ﯓﯔﯕﯖﯗﯘ
586,81,25,ﯙﯚﯛﯜﯝﯞb
586,81,26,ﯟﯠﯡ
586,81,27,ﯢﯣﯤﯥﯦﯧ
586,81,28,ﯨﯩﯪﯫbﯬﯭ
586,81,29,ﯮﯯﯰﯱﯲﯳﯴﯵﯶ
587,82,1,ﭑﭒﭓﭔ
587,82,2,ﭕﭖﭗﭘ
587,82,3,ﭙﭚbﭛﭜ
587,82,4,ﭝﭞﭟﭠ
587,82,5,ﭡﭢﭣﭤbﭥﭦ
587,82,6,ﭧﭨﭩﭪﭫﭬﭭ
587,82,7,ﭮbﭯﭰﭱﭲ
587,82,8,ﭳﭴﭵﭶﭷﭸﭹb
587,82,9,ﭺﭻﭼﭽﭾ
587,82,10,ﭿﮀﮁﮂ
587,82,11,ﮃbﮄﮅ
587,82,12,ﮆﮇﮈﮉ
587,82,13,ﮊﮋﮌﮍﮎ
587,82,14,ﮏbﮐﮑﮒﮓ
587,82,15,ﮔﮕﮖﮗ
587,82,16,ﮘﮙﮚﮛbﮜ
587,82,17,ﮝﮞﮟﮠﮡﮢ
587,82,18,ﮣﮤﮥﮦﮧﮨbﮩ
587,82,19,ﮪﮫﮬﮭﮮﮯﮰﮱﯓﯔﯕb
587,83,1,ﯖﯗﯘ
587,83,2,ﯙﯚﯛﯜﯝﯞﯟb
587,83,3,ﯠﯡﯢﯣﯤﯥ
587,83,4,ﯦﯧﯨﯩbﯪﯫ
587,83,5,ﯬﯭﯮ
587,83,6,ﯯﯰﯱﯲﯳﯴ
588,83,7,ﭑﭒﭓﭔﭕﭖﭗ
588,83,8,ﭘﭙﭚﭛﭜ
588,83,9,ﭝbﭞﭟ
588,83,10,ﭠﭡﭢﭣ
588,83,11,ﭤﭥﭦﭧﭨb
588,83,12,ﭩﭪﭫﭬﭭﭮﭯﭰ
588,83,13,ﭱﭲﭳﭴﭵﭶbﭷﭸ
588,83,14,ﭹﭺﭻﭼﭽﭾﭿﮀﮁﮂﮃ
588,83,15,ﮄﮅbﮆﮇﮈﮉﮊ
588,83,16,ﮋﮌﮍﮎﮏ
588,83,17,ﮐﮑbﮒﮓﮔﮕﮖﮗ
588,83,18,ﮘﮙﮚﮛﮜﮝbﮞ
588,83,19,ﮟﮠﮡﮢﮣ
588,83,20,ﮤﮥﮦ
588,83,21,ﮧﮨbﮩ
588,83,22,ﮪﮫﮬﮭﮮ
588,83,23,ﮯﮰﮱﯓ
588,83,24,ﯔﯕbﯖﯗﯘﯙ
588,83,25,ﯚﯛﯜﯝﯞb
588,83,26,ﯟﯠﯡﯢﯣﯤﯥﯦ
588,83,27,ﯧbﯨﯩﯪ
588,83,28,ﯫﯬﯭﯮﯯ
588,83,29,ﯰﯱbﯲﯳﯴﯵﯶﯷﯸ
588,83,30,ﯹﯺﯻbﯼﯽ
588,83,31,ﯾﯿﰀﰁﰂﰃﰄb
588,83,32,ﰅﰆﰇﰈﰉﰊﰋ
588,83,33,ﰌﰍﰎbﰏﰐ
588,83,34,ﰑﰒﰓﰔﰕﰖﰗ
589,83,35,ﭑﭒﭓﭔ
589,83,36,ﭕﭖﭗﭘﭙﭚﭛb
589,84,1,ﭜﭝﭞﭟ
589,84,2,ﭠﭡﭢﭣ
589,84,3,ﭤﭥﭦbﭧ
589,84,4,ﭨﭩﭪﭫﭬ
589,84,5,ﭭﭮﭯﭰ
589,84,6,ﭱbﭲﭳﭴﭵﭶﭷﭸﭹ
589,84,7,ﭺﭻﭼbﭽﭾﭿ
589,84,8,ﮀﮁﮂﮃﮄ
589,84,9,ﮅbﮆﮇﮈﮉ
589,84,10,ﮊﮋﮌﮍﮎﮏﮐ
589,84,11,ﮑbﮒﮓﮔ
589,84,12,ﮕﮖﮗ
589,84,13,ﮘﮙﮚﮛﮜﮝb
589,84,14,ﮞﮟﮠﮡﮢﮣ
589,84,15,ﮤﮥﮦﮧﮨﮩﮪ
589,84,16,ﮫﮬbﮭﮮ
589,84,17,ﮯﮰﮱﯓ
589,84,18,ﯔﯕﯖﯗb
589,84,19,ﯘﯙﯚﯛﯜ
589,84,20,ﯝﯞﯟﯠﯡ
589,84,21,ﯢﯣbﯤﯥﯦﯧﯨﯩ
589,84,22,ﯪﯫﯬﯭbﯮ
589,84,23,ﯯﯰﯱﯲﯳ
589,84,24,ﯴﯵﯶﯷb
589,84,25,ﯸﯹﯺﯻﯼﯽﯾﯿﰀﰁ
590,85,1,ﭑﭒﭓﭔ
590,85,2,ﭕﭖﭗ
590,85,3,ﭘﭙbﭚ
590,85,4,ﭛﭜﭝﭞ
590,85,5,ﭟﭠﭡﭢ
590,85,6,ﭣﭤﭥbﭦﭧ
590,85,7,ﭨﭩﭪﭫﭬﭭﭮ
590,85,8,ﭯﭰbﭱﭲﭳﭴﭵﭶﭷﭸ
590,85,9,ﭹﭺﭻbﭼﭽﭾﭿﮀﮁﮂﮃﮄ
590,85,10,ﮅﮆbﮇﮈﮉﮊﮋﮌﮍﮎﮏﮐbﮑﮒﮓ
590,85,11,ﮔﮕﮖﮗﮘﮙbﮚﮛﮜﮝﮞﮟﮠﮡﮢﮣ
590,85,12,ﮤﮥbﮦﮧﮨ
590,85,13,ﮩﮪﮫﮬﮭ
590,85,14,ﮮﮯﮰﮱb
590,85,15,ﯓﯔﯕﯖ
590,85,16,ﯗﯘﯙﯚ
590,85,17,ﯛﯜﯝﯞbﯟ
590,85,18,ﯠﯡﯢ
590,85,19,ﯣﯤﯥﯦﯧﯨ
590,85,20,ﯩﯪbﯫﯬﯭ
590,85,21,ﯮﯯﯰﯱﯲ
590,85,22,ﯳﯴﯵﯶ
591,86,1,ﭑﭒﭓ
591,86,2,ﭔﭕﭖﭗﭘ
591,86,3,ﭙﭚﭛ
591,86,4,ﭜﭝbﭞﭟﭠﭡﭢ
591,86,5,ﭣﭤﭥﭦﭧ
591,86,6,ﭨﭩﭪbﭫﭬ
591,86,7,ﭭﭮﭯﭰﭱﭲ
591,86,8,ﭳﭴﭵﭶﭷb
591,86,9,ﭸﭹﭺﭻ
591,86,10,ﭼﭽﭾﭿﮀﮁﮂ
591,86,11,ﮃﮄﮅﮆb
591,86,12,ﮇﮈﮉﮊ
591,86,13,ﮋﮌﮍﮎ
591,86,14,ﮏﮐﮑﮒ
591,86,15,ﮓbﮔﮕﮖ
591,86,16,ﮗﮘﮙ
591,86,17,ﮚﮛﮜﮝﮞb
591,87,1,ﮟﮠﮡﮢﮣ
591,87,2,ﮤﮥﮦﮧ
591,87,3,ﮨﮩﮪbﮫ
591,87,4,ﮬﮭﮮﮯ
591,87,5,ﮰﮱﯓﯔ
591,87,6,ﯕbﯖﯗﯘ
591,87,7,ﯙﯚﯛﯜﯝﯞﯟﯠﯡﯢﯣ
591,87,8,ﯤbﯥﯦ
591,87,9,ﯧﯨﯩﯪﯫ
591,87,10,ﯬﯭﯮﯯb
591,87,11,ﯰﯱﯲ
591,87,12,ﯳﯴﯵﯶﯷ
591,87,13,ﯸﯹﯺbﯻﯼﯽﯾ
591,87,14,ﯿﰀﰁﰂﰃ
591,87,15,ﰄﰅﰆﰇﰈ
592,87,16,ﭑﭒﭓﭔﭕ
592,87,17,ﭖﭗﭘﭙ
592,87,18,ﭚbﭛﭜﭝﭞﭟ
592,87,19,ﭠﭡﭢﭣb
592,88,1,ﭤﭥﭦﭧﭨ
592,88,2,ﭩﭪﭫﭬb
592,88,3,ﭭﭮﭯ
592,88,4,ﭰﭱﭲﭳ
592,88,5,ﭴﭵﭶﭷﭸb
592,88,6,ﭹﭺﭻﭼﭽﭾﭿ
592,88,7,ﮀﮁﮂﮃﮄﮅﮆb
592,88,8,ﮇﮈﮉﮊ
592,88,9,ﮋﮌﮍ
592,88,10,ﮎﮏﮐﮑb
592,88,11,ﮒﮓﮔﮕﮖ
592,88,12,ﮗﮘﮙﮚ
592,88,13,ﮛﮜﮝﮞb
592,88,14,ﮟﮠﮡ
592,88,15,ﮢﮣﮤ
592,88,16,ﮥﮦﮧb
592,88,17,ﮨﮩﮪﮫﮬﮭﮮ
592,88,18,ﮯﮰﮱbﯓﯔ
592,88,19,ﯕﯖﯗﯘﯙ
592,88,20,ﯚﯛﯜbﯝﯞ
592,88,21,ﯟﯠﯡﯢﯣ
